acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),,050_m_f_n_a.png,O,space,8286,1,1,,,7001,NNB,A,0
1,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),130668.20000004768,063_y_f_n_a.png,O,m,875,2,1,1673.8000000715256,128994.39999997616,7001,NNB,A,1
1,prac,1,1.0,1-Back,0,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),133484.0,063_y_f_n_a.png,O,None,2010,3,1,2808.6999999284744,130675.30000007153,7001,NNB,A,2
2,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),136266.39999997616,053_o_m_n_a.png,O,m,1977,4,1,2775.0999999046326,133491.30000007153,7001,NNB,A,3
3,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),138815.70000004768,058_m_m_n_a.png,O,m,1739,5,1,2542.100000023842,136273.60000002384,7001,NNB,A,4
4,prac,1,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),140031.89999997616,058_m_m_n_a.png,O,z,439,6,1,1209.6999999284744,138822.20000004768,7001,NNB,A,5
5,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),141764.60000002384,047_o_f_n_a.png,O,m,902,7,1,1725.8999999761581,140038.70000004768,7001,NNB,A,6
6,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),143680.89999997616,045_m_m_n_a.png,O,m,1107,8,1,1909.3999999761581,141771.5,7001,NNB,A,7
7,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),145327.39999997616,050_m_f_n_a.png,O,m,813,9,1,1639.5,143687.89999997616,7001,NNB,A,8
8,prac,1,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),146713.30000007153,050_m_f_n_a.png,O,z,607,10,1,1378.3000000715256,145335.0,7001,NNB,A,9
9,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),148096.20000004768,053_o_m_n_a.png,O,m,597,11,1,1375.8000000715256,146720.39999997616,7001,NNB,A,10
10,prac,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),149895.5,010_y_f_n_a.png,O,m,969,12,1,1792.1999999284744,148103.30000007153,7001,NNB,A,11
0,test,1,0.0,1-Back,,,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),149895.5,063_y_f_n_a.png,O,space,10716,1,1,1792.1999999284744,148103.30000007153,7001,NNB,A,0
1,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),169789.30000007153,043_m_f_n_a.png,O,m,747,2,1,1826.3000000715256,167963.0,7001,NNB,A,1
2,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),171855.5,010_y_f_n_a.png,O,m,1040,3,1,2060.6999999284744,169794.80000007153,7001,NNB,A,2
3,test,1,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),173622.10000002384,010_y_f_n_a.png,O,z,742,4,1,1760.5,171861.60000002384,7001,NNB,A,3
4,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),175237.5,043_m_f_n_a.png,O,m,584,5,1,1608.8999999761581,173628.60000002384,7001,NNB,A,4
5,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),176986.89999997616,053_o_m_n_a.png,O,m,720,6,1,1742.8999999761581,175244.0,7001,NNB,A,5
6,test,1,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),178586.39999997616,053_o_m_n_a.png,O,z,578,7,1,1593.5999999046326,176992.80000007153,7001,NNB,A,6
7,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),180452.5,058_m_m_n_a.png,O,m,843,8,1,1860.3999999761581,178592.10000002384,7001,NNB,A,7
8,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),182218.60000002384,047_o_f_n_a.png,O,m,745,9,1,1759.8999999761581,180458.70000004768,7001,NNB,A,8
9,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),183751.39999997616,058_m_m_n_a.png,O,m,515,10,1,1526.6999999284744,182224.70000004768,7001,NNB,A,9
10,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),185317.70000004768,041_y_m_n_a.png,O,m,534,11,1,1560.7000000476837,183757.0,7001,NNB,A,10
11,test,1,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),186817.10000002384,041_y_m_n_a.png,O,z,480,12,1,1493.2999999523163,185323.80000007153,7001,NNB,A,11
12,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),188616.5,044_o_f_n_a.png,O,m,772,13,1,1793.3999999761581,186823.10000002384,7001,NNB,A,12
13,test,1,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),190132.80000007153,044_o_f_n_a.png,O,z,493,14,1,1510.4000000953674,188622.39999997616,7001,NNB,A,13
14,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),191832.20000004768,008_y_m_n_a.png,O,m,680,15,1,1693.8000000715256,190138.39999997616,7001,NNB,A,14
15,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),193365.20000004768,050_m_f_n_a.png,O,m,509,16,1,1527.1000000238419,191838.10000002384,7001,NNB,A,15
16,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),194914.70000004768,046_o_m_n_a.png,O,m,520,17,1,1543.3000000715256,193371.39999997616,7001,NNB,A,16
17,test,1,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),196414.20000004768,050_m_f_n_a.png,O,m,467,18,1,1492.8999999761581,194921.30000007153,7001,NNB,A,17
0,test,2,0.0,1-Back,,,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),196414.20000004768,058_m_m_n_a.png,O,space,1511,1,1,1492.8999999761581,194921.30000007153,7001,NNB,A,0
1,test,2,0.0,1-Back,1,m,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),201646.0,043_m_f_n_a.png,O,m,667,2,1,1694.0,199952.0,7001,NNB,A,1
2,test,2,1.0,1-Back,1,z,Thu Sep 05 2024 13:46:14 GMT-0500 (Central Daylight Time),203328.5,043_m_f_n_a.png,O,z,655,3,1,1676.6000000238419,201651.89999997616,7001,NNB,A,2
