acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),,097_m_f_n_a.png,O,space,17538,1,1,,,7018,NNB,B,0
1,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),180318.70000004768,152_y_f_n_a.png,O,m,669,2,1,1540.0,178778.70000004768,7018,NNB,B,1
2,prac,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),181934.60000002384,152_y_f_n_a.png,O,z,836,3,1,1610.1000000238419,180324.5,7018,NNB,B,2
3,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),183500.70000004768,176_o_m_n_a.png,O,m,669,4,1,1557.8999999761581,181942.80000007153,7018,NNB,B,3
4,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),185333.40000009537,126_m_m_n_a.png,O,m,964,5,1,1827.2000000476837,183506.20000004768,7018,NNB,B,4
5,prac,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),186866.20000004768,126_m_m_n_a.png,O,z,751,6,1,1527.7000000476837,185338.5,7018,NNB,B,5
6,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),188465.80000007153,086_o_f_n_a.png,O,m,705,7,1,1593.8999999761581,186871.90000009537,7018,NNB,B,6
7,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),189915.5,178_m_m_n_a.png,O,m,581,8,1,1444.3999999761581,188471.10000002384,7018,NNB,B,7
8,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),191379.10000002384,097_m_f_n_a.png,O,m,624,9,1,1457.8999999761581,189921.20000004768,7018,NNB,B,8
9,prac,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),192814.5,097_m_f_n_a.png,O,z,647,10,1,1429.1999999284744,191385.30000007153,7018,NNB,B,9
10,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),194164.0,176_o_m_n_a.png,O,m,573,11,1,1343.7999999523163,192820.20000004768,7018,NNB,B,10
11,prac,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),195663.70000004768,173_y_f_n_a.png,O,m,623,12,1,1493.7999999523163,194169.90000009537,7018,NNB,B,11
0,test,1,0.0,1-Back,,,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),195663.70000004768,152_y_f_n_a.png,O,space,23146,1,1,1493.7999999523163,194169.90000009537,7018,NNB,B,0
1,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),232202.10000002384,029_m_f_n_a.png,O,m,767,2,1,1811.3999999761581,230390.70000004768,7018,NNB,B,1
2,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),233834.90000009537,173_y_f_n_a.png,O,m,591,3,1,1629.3000000715256,232205.60000002384,7018,NNB,B,2
3,test,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),235334.40000009537,173_y_f_n_a.png,O,z,454,4,1,1495.3000000715256,233839.10000002384,7018,NNB,B,3
4,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),237200.60000002384,029_m_f_n_a.png,O,m,843,5,1,1862.1000000238419,235338.5,7018,NNB,B,4
5,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),238766.70000004768,176_o_m_n_a.png,O,m,545,6,1,1562.1000000238419,237204.60000002384,7018,NNB,B,5
6,test,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),240282.70000004768,176_o_m_n_a.png,O,z,498,7,1,1512.6000000238419,238770.10000002384,7018,NNB,B,6
7,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),241932.30000007153,126_m_m_n_a.png,O,m,631,8,1,1646.3999999761581,240285.90000009537,7018,NNB,B,7
8,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),243498.30000007153,086_o_f_n_a.png,O,m,549,9,1,1562.0,241936.30000007153,7018,NNB,B,8
9,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),245231.20000004768,126_m_m_n_a.png,O,m,711,10,1,1729.3999999761581,243501.80000007153,7018,NNB,B,9
10,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),246797.5,153_y_m_n_a.png,O,m,546,11,1,1562.7999999523163,245234.70000004768,7018,NNB,B,10
11,test,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),248463.70000004768,153_y_m_n_a.png,O,z,644,12,1,1662.2000000476837,246801.5,7018,NNB,B,11
12,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),250012.90000009537,110_o_f_n_a.png,O,m,530,13,1,1545.4000000953674,248467.5,7018,NNB,B,12
13,test,1,1.0,1-Back,1,z,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),251679.20000004768,110_o_f_n_a.png,O,z,635,14,1,1661.8999999761581,250017.30000007153,7018,NNB,B,13
14,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),253278.60000002384,013_y_m_n_a.png,O,m,570,15,1,1595.5,251683.10000002384,7018,NNB,B,14
15,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),254961.60000002384,097_m_f_n_a.png,O,m,659,16,1,1678.8999999761581,253282.70000004768,7018,NNB,B,15
16,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),256794.40000009537,065_o_m_n_a.png,O,m,789,17,1,1829.4000000953674,254965.0,7018,NNB,B,16
17,test,1,0.0,1-Back,1,m,Fri Sep 06 2024 09:32:27 GMT-0500 (Central Daylight Time),258443.70000004768,097_m_f_n_a.png,O,m,614,18,1,1645.6000000238419,256798.10000002384,7018,NNB,B,17
