acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),,093_m_f_n_a.png,O,space,13271,1,1,,,9999,NNB,C,0
1,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),151948.69999998808,098_y_f_n_a.png,O,m,715,2,1,1609.800000011921,150338.89999997616,9999,NNB,C,1
2,prac,1,1.0,1-Back,1,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),153581.59999996424,098_y_f_n_a.png,O,z,828,3,1,1607.5,151974.09999996424,9999,NNB,C,2
3,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),154964.5,059_o_m_n_a.png,O,m,427,4,1,1341.0,153623.5,9999,NNB,C,3
4,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),156430.29999995232,092_m_m_n_a.png,O,m,519,5,1,1441.5999999642372,154988.69999998808,9999,NNB,C,4
5,prac,1,1.0,1-Back,1,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),157913.29999995232,092_m_m_n_a.png,O,z,683,6,1,1458.699999988079,156454.59999996424,9999,NNB,C,5
6,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),159346.09999996424,130_o_f_n_a.png,O,m,456,7,1,1407.8999999761581,157938.19999998808,9999,NNB,C,6
7,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),160895.59999996424,082_m_m_n_a.png,O,m,618,8,1,1526.8999999761581,159368.69999998808,9999,NNB,C,7
8,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),162528.5,093_m_f_n_a.png,O,m,825,9,1,1608.300000011921,160920.19999998808,9999,NNB,C,8
8,prac,1,1.0,1-Back,0,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),163911.19999998808,093_m_f_n_a.png,O,m,578,10,1,1360.1000000238419,162551.09999996424,9999,NNB,C,9
9,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),165410.89999997616,059_o_m_n_a.png,O,m,692,11,1,1461.6000000238419,163949.29999995232,9999,NNB,C,10
10,prac,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),166910.69999998808,028_y_f_n_a.png,O,m,574,12,1,1477.0,165433.69999998808,9999,NNB,C,11
0,test,1,0.0,1-Back,,,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),166910.69999998808,098_y_f_n_a.png,O,space,22072,1,1,1477.0,165433.69999998808,9999,NNB,C,0
1,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),201815.39999997616,006_m_f_n_a.png,O,m,460,2,1,1482.300000011921,200333.09999996424,9999,NNB,C,1
2,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),203315.19999998808,028_y_f_n_a.png,O,m,466,3,1,1485.1000000238419,201830.09999996424,9999,NNB,C,2
3,test,1,1.0,1-Back,1,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),204731.09999996424,028_y_f_n_a.png,O,z,383,4,1,1400.300000011921,203330.79999995232,9999,NNB,C,3
4,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),206347.19999998808,006_m_f_n_a.png,O,m,574,5,1,1601.300000011921,204745.89999997616,9999,NNB,C,4
5,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),207796.5,059_o_m_n_a.png,O,m,406,6,1,1435.1000000238419,206361.39999997616,9999,NNB,C,5
5,test,1,1.0,1-Back,0,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),209279.39999997616,059_o_m_n_a.png,O,m,437,7,1,1467.3999999761581,207812.0,9999,NNB,C,6
6,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),210795.5,092_m_m_n_a.png,O,m,473,8,1,1500.800000011921,209294.69999998808,9999,NNB,C,7
7,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),212378.29999995232,130_o_f_n_a.png,O,m,541,9,1,1567.5,210810.79999995232,9999,NNB,C,8
8,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),214027.89999997616,092_m_m_n_a.png,O,m,632,10,1,1634.8999999761581,212393.0,9999,NNB,C,9
9,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),215677.29999995232,057_y_m_n_a.png,O,m,605,11,1,1633.3999999761581,214043.89999997616,9999,NNB,C,10
10,test,1,1.0,1-Back,1,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),217359.89999997616,057_y_m_n_a.png,O,z,643,12,1,1661.6000000238419,215698.29999995232,9999,NNB,C,11
11,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),219209.39999997616,030_o_f_n_a.png,O,m,825,13,1,1842.300000011921,217367.09999996424,9999,NNB,C,12
12,test,1,1.0,1-Back,1,z,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),221092.09999996424,030_o_f_n_a.png,O,z,848,14,1,1867.800000011921,219224.29999995232,9999,NNB,C,13
13,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),222858.29999995232,031_y_m_n_a.png,O,m,725,15,1,1751.0999999642372,221107.19999998808,9999,NNB,C,14
14,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),224557.69999998808,093_m_f_n_a.png,O,m,655,16,1,1684.1000000238419,222873.59999996424,9999,NNB,C,15
15,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),226523.59999996424,146_o_m_n_a.png,O,m,930,17,1,1949.0999999642372,224574.5,9999,NNB,C,16
16,test,1,0.0,1-Back,1,m,Wed Aug 28 2024 12:30:52 GMT-0500 (Central Daylight Time),228089.79999995232,093_m_f_n_a.png,O,m,525,18,1,1549.7999999523163,226540.0,9999,NNB,C,17
